date,number
2017-04-01,117
2017-04-02,139
2017-04-03,233
2017-04-04,245
2017-04-05,272
2017-04-06,177
2017-04-07,91
2017-04-08,57
2017-04-09,84
2017-04-10,138
2017-04-11,67
2017-04-12,77
2017-04-13,155
2017-04-14,140
2017-04-15,106
2017-04-16,76
2017-04-17,141
2017-04-01,117
2017-04-02,139
2017-04-03,233
2017-04-04,245
2017-04-05,272
2017-04-06,177
2017-04-07,91
2017-04-08,57
2017-04-09,84
2017-04-10,138
2017-04-11,67
2017-04-12,77
2017-04-13,155
2017-04-14,140
2017-04-15,106
2017-04-16,76
2017-04-17,141
2017-04-01,117
2017-04-02,139
2017-04-03,233
2017-04-04,245
2017-04-05,272
2017-04-06,177
2017-04-07,91
2017-04-08,57
2017-04-09,84
2017-04-10,138
2017-04-11,67
2017-04-12,77
2017-04-13,155
2017-04-14,140
2017-04-15,106
2017-04-16,76
2017-04-17,141
2017-04-01,117
2017-04-02,139
2017-04-03,233
2017-04-04,245
2017-04-05,272
2017-04-06,177
2017-04-07,91
2017-04-08,57
2017-04-09,84
2017-04-10,138
2017-04-11,67
2017-04-12,77
2017-04-13,155
2017-04-14,140
2017-04-15,106
2017-04-16,76
2017-04-17,141
